Link, Anchor Text
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-13", [13]
"https://en.wikipedia.org/wiki/Kobe_Bryant", Kobe Bryant
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-14", [14]
"https://en.wikipedia.org/wiki/James_Cameron", James Cameron
"https://en.wikipedia.org/wiki/Lady_Gaga", Lady Gaga
"https://en.wikipedia.org/wiki/Sandra_Bullock", Sandra Bullock
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-15", [15]
"https://en.wikipedia.org/wiki/Justin_Bieber", Justin Bieber
"https://en.wikipedia.org/wiki/Taylor_Swift", Taylor Swift
"https://en.wikipedia.org/wiki/Bon_Jovi", Bon Jovi
"https://en.wikipedia.org/wiki/Simon_Cowell", Simon Cowell
"https://en.wikipedia.org/wiki/LeBron_James", LeBron James
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-16", [16]
"https://en.wikipedia.org/wiki/Barbados", 
"https://en.wikipedia.org/wiki/Rihanna", Rihanna
"https://en.wikipedia.org/wiki/Kim_Kardashian", Kim Kardashian
"https://en.wikipedia.org/wiki/Katy_Perry", Katy Perry
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-17", [17]
"https://en.wikipedia.org/wiki/Madonna_(entertainer)", Madonna
"https://en.wikipedia.org/wiki/Switzerland", 
"https://en.wikipedia.org/wiki/Roger_Federer", Roger Federer
"https://en.wikipedia.org/wiki/Tennis", Tennis
"https://en.wikipedia.org/wiki/Ellen_DeGeneres", Ellen DeGeneres
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-18", [18]
"https://en.wikipedia.org/wiki/Floyd_Mayweather_Jr.", Floyd Mayweather Jr.
"https://en.wikipedia.org/wiki/Boxing", Boxing
"https://en.wikipedia.org/wiki/Robert_Downey_Jr.", Robert Downey Jr.
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-19", [19]
"https://en.wikipedia.org/wiki/Philippines", 
"https://en.wikipedia.org/wiki/Manny_Pacquiao", Manny Pacquiao
"https://en.wikipedia.org/wiki/One_Direction", One Direction
"https://en.wikipedia.org/wiki/Garth_Brooks", Garth Brooks
"https://en.wikipedia.org/wiki/James_Patterson", James Patterson
"https://en.wikipedia.org/wiki/Portugal", 
"https://en.wikipedia.org/wiki/Cristiano_Ronaldo", Cristiano Ronaldo
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-forbes2016-20", [20]
"https://en.wikipedia.org/wiki/Association_Football", Association Football
"https://en.wikipedia.org/wiki/Dr._Phil_McGraw", Dr. Phil McGraw
"https://en.wikipedia.org/wiki/Kevin_Hart", Kevin Hart
"https://en.wikipedia.org/wiki/Argentina", 
"https://en.wikipedia.org/wiki/Lionel_Messi", Lionel Messi
"https://en.wikipedia.org/wiki/Adele", Adele
"https://en.wikipedia.org/wiki/Rush_Limbaugh", Rush Limbaugh
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-forbes2017-21", [21]
"https://en.wikipedia.org/wiki/Sean_Combs", Sean 'Diddy' Combs
"https://en.wikipedia.org/wiki/J._K._Rowling", J. K. Rowling
"https://en.wikipedia.org/wiki/Drake_(musician)", Drake
"https://en.wikipedia.org/wiki/The_Weeknd", The Weeknd
"https://en.wikipedia.org/wiki/Coldplay", Coldplay
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-22", [22]
"https://en.wikipedia.org/wiki/Floyd_Mayweather", Floyd Mayweather
"https://en.wikipedia.org/wiki/George_Clooney", George Clooney
"https://en.wikipedia.org/wiki/Kylie_Jenner", Kylie Jenner
"https://en.wikipedia.org/wiki/Judge_Judy_Sheindlin", Judge Judy Sheindlin
"https://en.wikipedia.org/wiki/Dwayne_Johnson", Dwayne Johnson
"https://en.wikipedia.org/wiki/Ed_Sheeran", Ed Sheeran
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-23", [23]
"https://en.wikipedia.org/wiki/Musician", Musician
"https://en.wikipedia.org/wiki/Personality", Personality
"https://en.wikipedia.org/wiki/Kanye_West", Kanye West
"https://en.wikipedia.org/wiki/Rapper", Rapper
"https://en.wikipedia.org/wiki/Athlete", Athlete
"https://en.wikipedia.org/wiki/Brazil", 
"https://en.wikipedia.org/wiki/Neymar", Neymar
"https://en.wikipedia.org/wiki/The_Eagles", The Eagles
"https://en.wikipedia.org/wiki/Music_group", Music group
"https://en.wikipedia.org/wiki/Phil_McGraw", Phil McGraw
"https://en.wikipedia.org/wiki/Television_Personality", Television Personality
"https://en.wikipedia.org/wiki/Mexico", 
"https://en.wikipedia.org/wiki/Canelo_Alvarez", Saul "Canelo" Alvarez
"https://en.wikipedia.org/wiki/Boxer_(boxing)", Boxer
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_note-24", [24]
"https://en.wikipedia.org/wiki/Tyler_Perry", Tyler Perry
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_ref-1", ^
"https://www.forbes.com/sites/zackomalleygreenburg/2015/06/29/celebrity-100-our-new-methodology-explained/?sh=2d3af6624e2e", "Celebrity 100: Our New Methodology Explained"
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_ref-2", ^
"https://www.forbes.com/pictures/5b46157231358e2c990ec05b/methodology/?sh=41cb2566127b", "Methodology"
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_ref-3", ^
"http://www.amiannoying.com/%28S%28szuwwc45obrykg55jrzohgrw%29%29/collection.aspx?collection=78", "AmIAnnoying.com – Forbes' Celebrity 100 Power Ranking [1999]"
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_ref-4", ^
"http://www.amiannoying.com/%28S%28szuwwc45obrykg55jrzohgrw%29%29/collection.aspx?collection=79", "AmIAnnoying.com – Forbes' Celebrity 100 Power Ranking [2000]"
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_ref-5", ^
"http://www.amiannoying.com/%28S%28avr2kc55h0yglr55jz5irrj3%29%29/collection.aspx?collection=20", "AmIAnnoying.com – Forbes' Celebrity 100 Power Ranking [2001]"
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_ref-6", ^
"http://www.amiannoying.com/%28S%28ylm23545via5cz3efshv5u55%29%29/collection.aspx?collection=219", "AmIAnnoying.com – Forbes' Celebrity 100 Power Ranking [2002]"
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_ref-7", ^
"https://www.forbes.com/static_html/celebs/2003/index.shtml", "Forbes.com"
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_ref-8", ^
"https://www.forbes.com/2004/06/16/celebs04land.html", "The Celebrity 100"
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_ref-9", ^
"https://www.forbes.com/lists/2005/53/Rank_1.html", "The Celebrity 100"
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_ref-10", ^
"https://www.forbes.com/lists/2006/53/Rank.html", "The Celebrity 100 - Forbes.com"
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_ref-11", ^
"https://web.archive.org/web/20070616185842/http://www.forbes.com/lists/2007/53/07celebrities_The-Celebrity-100_Rank.html", "The Celebrity 100 - Forbes.com"
"https://www.forbes.com/lists/2007/53/07celebrities_The-Celebrity-100_Rank.html", the original
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_ref-12", ^
"https://www.forbes.com/lists/2008/53/celebrities08_The-Celebrity-100_Rank.html", "The Celebrity 100 - Forbes.com"
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_ref-13", ^
"https://web.archive.org/web/20090607233833/http://www.forbes.com/lists/2009/53/celebrity-09_The-Celebrity-100_Rank.html", "The Celebrity 100"
"https://www.forbes.com/lists/2009/53/celebrity-09_The-Celebrity-100_Rank.html", the original
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_ref-14", ^
"https://www.forbes.com/lists/2010/53/celeb-100-10_The-Celebrity-100.html", "The Celebrity 100"
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_ref-15", ^
"https://web.archive.org/web/20160905004028/http://www.forbes.com/lists/2012/celebrities/celebrity-100_2011.html", "Celebrity 100 2011"
"https://www.forbes.com/lists/2012/celebrities/celebrity-100_2011.html", the original
